pathway	definition	list
map00340	Histidine metabolism	K00013|K00765|K00817|K01089|K01814|K02500|K02501|K11755
map00350	Tyrosine metabolism	K00121|K00135|K00813|K00817|K00832|K04072|K13953|K13954
map00360	Phenylalanine metabolism	K00285|K00813|K00817|K00832|K03782
map00361	Chlorocyclohexane and chlorobenzene degradation	K01061
map00362	Benzoate degradation	K00626|K00632
map00364	Fluorobenzoate degradation	K01061
map00380	Tryptophan metabolism	K00164|K00626|K01667|K03782
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	K00014|K00800|K00813|K00817|K00832|K00891|K01626|K01658|K01696|K01735|K01736
map00401	Novobiocin biosynthesis	K00813|K00817|K00832
map00405	Phenazine biosynthesis	K01658
map00410	beta-Alanine metabolism	K00137|K00797|K00823|K01579|K01918|K17723
map00430	Taurine and hypotaurine metabolism	K00925|K13788
map00450	Selenocompound metabolism	K00384|K00548|K00549|K00956|K00957|K01008|K01042|K01739|K01760|K01874|K07310|K11717|K12527
map00460	Cyanoamino acid metabolism	K00600|K01424|K01914
map00471	D-Glutamine and D-glutamate metabolism	K01924|K01925
map00473	D-Alanine metabolism	K01775|K01921
map00480	Glutathione metabolism	K00031|K00033|K00036|K00383|K00797|K00799|K01255|K01270|K01581|K01919|K01920
map00500	Starch and sucrose metabolism	K00688|K00703|K00705|K00975|K01222|K01223|K01232|K01810|K01835|K02438|K02750|K02761
map00511	Other glycan degradation	K12112
map00520	Amino sugar and nucleotide sugar metabolism	K00012|K00075|K00790|K00820|K00975|K01207|K01443|K01711|K01784|K01791|K01809|K01810|K01835|K02472|K02564|K02779|K02794|K02795|K02796|K03431|K04042
map00521	Streptomycin biosynthesis	K00973|K01092|K01710|K01835
map00523	Polyketide sugar unit biosynthesis	K00973|K01710
map00525	Acarbose and validamycin biosynthesis	K00973|K01710
map00531	Glycosaminoglycan degradation	K01207
map00540	Lipopolysaccharide biosynthesis	K00979|K01627|K02535|K02560|K03270|K03271|K06041|K12975
map00550	Peptidoglycan biosynthesis	K00075|K00790|K01000|K01921|K01924|K01925|K01929|K02563|K03587|K03814|K05365|K05515|K06153|K07258|K07259|K19302
map00561	Glycerolipid metabolism	K00005|K00631|K00655|K00864|K00865|K03621
map00562	Inositol phosphate metabolism	K01092|K01803
map00564	Glycerophospholipid metabolism	K00057|K00631|K00655|K00995|K00998|K01058|K01095|K01521|K01613|K03621|K03735|K06131
map00565	Ether lipid metabolism	K01058
map00590	Arachidonic acid metabolism	K01058
map00591	Linoleic acid metabolism	K01058
map00592	alpha-Linolenic acid metabolism	K00632|K01058
map00620	Pyruvate metabolism	K00024|K00029|K00138|K00163|K00244|K00245|K00246|K00247|K00382|K00626|K00656|K00873|K00925|K01007|K01512|K01610|K01638|K01676|K01679|K01759|K01895|K01961|K01962|K01963|K02160|K03737|K03777|K04072|K13788
map00623	Toluene degradation	K01061
map00625	Chloroalkane and chloroalkene degradation	K00121|K04072|K13953|K13954
map00626	Naphthalene degradation	K00121|K04072|K13953|K13954
map00627	Aminobenzoate degradation	K01035|K01512|K03186|K19709
map00630	Glyoxylate and dicarboxylate metabolism	K00024|K00042|K00048|K00104|K00123|K00281|K00382|K00600|K00626|K00865|K01091|K01608|K01637|K01638|K01647|K01681|K01682|K01847|K01915|K02437|K03780|K07246|K11473
map00633	Nitrotoluene degradation	K06281|K06282|K10679
map00640	Propanoate metabolism	K00005|K00048|K00382|K00626|K00656|K00823|K00925|K00932|K01035|K01659|K01682|K01699|K01720|K01847|K01895|K01902|K01903|K01908|K01961|K01962|K01963|K02160|K03417|K08325|K13788|K13919|K13920|K19709
map00642	Ethylbenzene degradation	K00632
map00650	Butanoate metabolism	K00135|K00239|K00240|K00244|K00245|K00246|K00247|K00626|K00656|K00823|K01035|K01652|K01653|K03737|K04072|K07246|K11258|K14268|K19709
map00660	C5-Branched dibasic acid metabolism	K00052|K01652|K01653|K01703|K01704|K01902|K01903|K11258
map00670	One carbon pool by folate	K00287|K00297|K00548|K00560|K00600|K00602|K00604|K01491|K08289|K11175
map00680	Methane metabolism	K00024|K00058|K00121|K00123|K00600|K00831|K00850|K00925|K01007|K01624|K01689|K01834|K01895|K02446|K11645|K13788|K15633|K15634
map00710	Carbon fixation in photosynthetic organisms	K00024|K00029|K00134|K00615|K00855|K00927|K01610|K01624|K01783|K01803|K01807|K01808|K02446|K11645
map00720	Carbon fixation pathways in prokaryotes	K00024|K00031|K00239|K00240|K00244|K00245|K00246|K00247|K00297|K00626|K00925|K01007|K01491|K01676|K01679|K01681|K01682|K01847|K01895|K01902|K01903|K01961|K01962|K01963|K02160|K03737|K13788
map00730	Thiamine metabolism	K00788|K00939|K00941|K00946|K01077|K01662|K03147|K03149|K03150|K04487|K07251
map00740	Riboflavin metabolism	K00793|K00794|K01497|K02858|K05368|K11752|K20861|K20862
map00750	Vitamin B6 metabolism	K00097|K00275|K00831|K03472|K03473|K03474
map00760	Nicotinate and nicotinamide metabolism	K00135|K00278|K00322|K00324|K00325|K00767|K00858|K00969|K01916|K03517|K03743|K03784|K04765|K20881
map00770	Pantothenate and CoA biosynthesis	K00053|K00606|K00826|K00867|K00954|K00997|K01579|K01652|K01653|K01687|K01918|K04765|K11258|K13038|K17723
map00780	Biotin metabolism	K00059|K00208|K00647|K00652|K00833|K01012|K01935|K02169|K02170|K02372|K03524|K09458
map00785	Lipoic acid metabolism	K03644|K03800|K03801
map00790	Folate biosynthesis	K00287|K00796|K01077|K01495|K01633|K01737|K03635|K03637|K03639|K03752|K03831|K06879|K06920|K10026
map00830	Retinol metabolism	K00121|K13953
map00860	Porphyrin and chlorophyll metabolism	K00228|K00230|K01599|K01698|K01749|K01845|K01885|K02226|K02301|K02492|K03594|K05368
map00900	Terpenoid backbone biosynthesis	K00099|K00626|K00795|K00806|K00919|K00991|K01662|K01770|K02523|K03526|K03527
map00908	Zeatin biosynthesis	K00791
map00910	Nitrogen metabolism	K00262|K00266|K00362|K00370|K00371|K00374|K00926|K01915|K02567|K03385
map00920	Sulfur metabolism	K00380|K00381|K00390|K00640|K00651|K00860|K00956|K00957|K01082|K01738|K01739|K02045|K02046|K02047|K02048|K07306|K07308|K12339
map00940	Phenylpropanoid biosynthesis	K03186|K03782
map00950	Isoquinoline alkaloid biosynthesis	K00813|K00832
map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	K00813|K00817|K00832|K01582
map00965	Betalain biosynthesis	K15777
map00966	Glucosinolate biosynthesis	K01703
map00970	Aminoacyl-tRNA biosynthesis	K00604|K01042|K01866|K01867|K01868|K01869|K01870|K01872|K01873|K01874|K01875|K01876|K01878|K01879|K01881|K01883|K01885|K01886|K01887|K01889|K01892|K01893|K04567
map00980	Metabolism of xenobiotics by cytochrome P450	K00121|K00799|K13953
map00982	Drug metabolism - cytochrome P450	K00121|K00799|K13953
map00983	Drug metabolism - other enzymes	K00088|K00857|K01951
map01040	Biosynthesis of unsaturated fatty acids	K00059
map01051	Biosynthesis of ansamycins	K00615
map01053	Biosynthesis of siderophore group nonribosomal peptides	K00216|K01252|K02362|K02363|K02364
map01055	Biosynthesis of vancomycin group antibiotics	K01710
map01100	Metabolic pathways	K00005|K00012|K00013|K00014|K00024|K00029|K00031|K00033|K00036|K00042|K00052|K00053|K00058|K00059|K00075|K00088|K00097|K00099|K00104|K00121|K00123|K00133|K00134|K00135|K00137|K00138|K00147|K00163|K00164|K00208|K00215|K00228|K00230|K00239|K00240|K00244|K00245|K00246|K00247|K00254|K00262|K00266|K00275|K00278|K00281|K00287|K00297|K00322|K00324|K00325|K00330|K00331|K00334|K00335|K00336|K00337|K00338|K00339|K00340|K00341|K00342|K00343|K00380|K00381|K00382|K00390|K00425|K00525|K00526|K00527|K00548|K00549|K00560|K00568|K00600|K00602|K00606|K00609|K00610|K00611|K00615|K00616|K00626|K00631|K00632|K00640|K00645|K00647|K00648|K00651|K00652|K00655|K00656|K00657|K00674|K00688|K00703|K00705|K00761|K00762|K00764|K00765|K00767|K00788|K00789|K00790|K00791|K00793|K00794|K00795|K00796|K00797|K00800|K00813|K00817|K00820|K00821|K00823|K00826|K00831|K00832|K00833|K00850|K00855|K00857|K00858|K00860|K00864|K00865|K00867|K00873|K00891|K00919|K00925|K00926|K00927|K00932|K00939|K00940|K00941|K00942|K00943|K00945|K00946|K00948|K00954|K00956|K00957|K00969|K00975|K00979|K00991|K00995|K00998|K01000|K01007|K01008|K01012|K01035|K01058|K01061|K01077|K01082|K01089|K01091|K01092|K01095|K01207|K01243|K01255|K01270|K01424|K01439|K01465|K01487|K01491|K01494|K01495|K01497|K01520|K01579|K01581|K01582|K01584|K01586|K01588|K01589|K01591|K01599|K01608|K01610|K01611|K01613|K01624|K01626|K01627|K01633|K01637|K01638|K01647|K01652|K01653|K01658|K01661|K01662|K01676|K01679|K01681|K01682|K01685|K01686|K01687|K01689|K01696|K01698|K01703|K01704|K01711|K01716|K01735|K01736|K01737|K01738|K01739|K01744|K01749|K01756|K01760|K01770|K01775|K01778|K01783|K01784|K01786|K01791|K01803|K01804|K01807|K01808|K01809|K01810|K01814|K01834|K01835|K01845|K01847|K01885|K01886|K01895|K01902|K01903|K01908|K01914|K01915|K01916|K01918|K01919|K01920|K01921|K01923|K01924|K01925|K01929|K01933|K01935|K01937|K01939|K01940|K01945|K01951|K01952|K01953|K01955|K01956|K01961|K01962|K01963|K02108|K02109|K02110|K02111|K02112|K02113|K02114|K02115|K02160|K02169|K02170|K02226|K02297|K02298|K02299|K02300|K02301|K02335|K02337|K02338|K02340|K02345|K02372|K02437|K02438|K02446|K02492|K02500|K02501|K02535|K02548|K02560|K02563|K02564|K02794|K02795|K02796|K02822|K02858|K03040|K03043|K03046|K03060|K03077|K03147|K03149|K03150|K03179|K03182|K03183|K03186|K03270|K03271|K03431|K03472|K03473|K03474|K03475|K03476|K03517|K03524|K03526|K03527|K03621|K03635|K03637|K03639|K03644|K03735|K03737|K03752|K03782|K03784|K03800|K03801|K03831|K04042|K04072|K04487|K04765|K05368|K06041|K06131|K06879|K06920|K07173|K07251|K07258|K08289|K08323|K08722|K09251|K09458|K09903|K10026|K11175|K11258|K11473|K11645|K11717|K11752|K11755|K12112|K12339|K13038|K13378|K13788|K13821|K13953|K13954|K14260|K14268|K15633|K15634|K16066|K17723|K19222|K19709|K20861|K20862|K20881
map01110	Biosynthesis of secondary metabolites	K00013|K00014|K00024|K00031|K00033|K00036|K00052|K00053|K00057|K00088|K00099|K00104|K00121|K00133|K00134|K00138|K00147|K00163|K00164|K00215|K00216|K00228|K00230|K00239|K00240|K00244|K00245|K00246|K00247|K00266|K00281|K00382|K00548|K00549|K00568|K00600|K00602|K00606|K00611|K00615|K00616|K00626|K00631|K00632|K00640|K00651|K00655|K00688|K00703|K00764|K00765|K00789|K00791|K00793|K00794|K00795|K00800|K00806|K00813|K00817|K00821|K00826|K00832|K00850|K00873|K00891|K00919|K00927|K00939|K00940|K00948|K00975|K00991|K00998|K01058|K01061|K01089|K01091|K01252|K01424|K01497|K01521|K01579|K01581|K01582|K01586|K01588|K01589|K01599|K01610|K01613|K01624|K01626|K01637|K01638|K01647|K01652|K01653|K01658|K01661|K01662|K01676|K01679|K01681|K01682|K01687|K01689|K01696|K01698|K01703|K01704|K01735|K01736|K01738|K01739|K01749|K01756|K01760|K01770|K01778|K01783|K01803|K01807|K01808|K01809|K01810|K01814|K01834|K01835|K01845|K01885|K01895|K01902|K01903|K01914|K01918|K01923|K01933|K01940|K01945|K01952|K01953|K01961|K01962|K01963|K02160|K02301|K02362|K02363|K02364|K02437|K02446|K02492|K02500|K02501|K02523|K02548|K02858|K03179|K03182|K03183|K03186|K03526|K03527|K03621|K03782|K03784|K03809|K04072|K08289|K11175|K11258|K11473|K11645|K11752|K11755|K12339|K13821|K13953|K13954|K14260|K15633|K15634|K19222|K20861|K20862|K20881
map01120	Microbial metabolism in diverse environments	K00024|K00029|K00031|K00033|K00036|K00048|K00058|K00104|K00121|K00123|K00133|K00134|K00135|K00138|K00163|K00164|K00215|K00239|K00240|K00244|K00245|K00246|K00247|K00266|K00275|K00297|K00362|K00370|K00371|K00374|K00380|K00381|K00382|K00390|K00600|K00615|K00616|K00626|K00632|K00640|K00656|K00674|K00821|K00823|K00831|K00850|K00855|K00860|K00865|K00873|K00925|K00926|K00927|K00948|K00956|K00957|K01007|K01035|K01061|K01082|K01439|K01491|K01512|K01586|K01610|K01624|K01637|K01638|K01647|K01676|K01679|K01681|K01682|K01689|K01698|K01738|K01749|K01778|K01783|K01803|K01807|K01808|K01810|K01818|K01834|K01835|K01845|K01847|K01885|K01895|K01902|K01903|K01915|K01961|K01962|K01963|K02160|K02446|K02492|K02567|K02822|K03077|K03385|K03475|K03476|K03562|K03737|K03777|K04072|K06193|K06281|K06282|K10679|K11473|K11645|K12339|K12661|K13788|K13953|K13954|K14268|K15633|K15634|K19709
map01130	Biosynthesis of antibiotics	K00014|K00024|K00031|K00033|K00036|K00053|K00058|K00099|K00104|K00121|K00133|K00134|K00147|K00163|K00164|K00215|K00216|K00239|K00240|K00244|K00245|K00246|K00247|K00266|K00281|K00382|K00600|K00602|K00611|K00615|K00616|K00626|K00632|K00764|K00795|K00800|K00813|K00817|K00820|K00821|K00826|K00831|K00832|K00850|K00865|K00873|K00891|K00919|K00927|K00939|K00940|K00948|K00956|K00957|K00973|K00991|K01061|K01082|K01091|K01252|K01443|K01581|K01586|K01588|K01589|K01610|K01624|K01626|K01647|K01652|K01653|K01658|K01662|K01676|K01679|K01681|K01682|K01687|K01689|K01696|K01710|K01735|K01736|K01738|K01739|K01756|K01770|K01778|K01783|K01803|K01807|K01808|K01809|K01810|K01834|K01835|K01895|K01902|K01903|K01923|K01933|K01940|K01945|K01952|K01961|K01962|K01963|K02160|K02362|K02363|K02364|K02437|K02446|K03431|K03526|K03527|K03737|K04042|K04072|K08289|K11175|K11258|K11473|K11645|K12339|K13821|K13953|K13954|K14260|K15633|K15634
map01200	Carbon metabolism	K00024|K00029|K00031|K00033|K00036|K00058|K00121|K00123|K00134|K00163|K00164|K00239|K00240|K00244|K00245|K00246|K00247|K00281|K00297|K00382|K00600|K00615|K00616|K00626|K00640|K00831|K00850|K00855|K00873|K00925|K00926|K00927|K00948|K01007|K01491|K01610|K01624|K01637|K01638|K01647|K01676|K01679|K01681|K01682|K01689|K01738|K01783|K01803|K01807|K01808|K01810|K01834|K01847|K01895|K01902|K01903|K01961|K01962|K01963|K02160|K02437|K02446|K03737|K11645|K12339|K13788|K15633|K15634
map01210	2-Oxocarboxylic acid metabolism	K00031|K00052|K00053|K00133|K00813|K00821|K00826|K01647|K01652|K01653|K01681|K01682|K01687|K01703|K01704|K11258|K14260
map01212	Fatty acid metabolism	K00059|K00208|K00626|K00632|K00645|K00647|K00648|K01716|K01961|K01962|K01963|K02160|K02372|K09458
map01220	Degradation of aromatic compounds	K00121|K04072|K13953|K13954
map01230	Biosynthesis of amino acids	K00013|K00014|K00031|K00052|K00053|K00058|K00133|K00134|K00147|K00215|K00266|K00548|K00549|K00600|K00611|K00615|K00616|K00640|K00651|K00674|K00765|K00789|K00800|K00813|K00817|K00821|K00826|K00831|K00832|K00850|K00873|K00891|K00927|K00948|K01089|K01243|K01439|K01586|K01624|K01626|K01647|K01652|K01653|K01658|K01681|K01682|K01687|K01689|K01696|K01703|K01704|K01735|K01736|K01738|K01739|K01760|K01778|K01783|K01803|K01807|K01808|K01814|K01834|K01914|K01915|K01940|K02500|K02501|K07173|K11258|K11645|K11755|K12339|K14260|K15633|K15634
map01501	beta-Lactam resistance	K01207|K01467|K03587|K05515|K10823|K15581|K15582|K18138
map01502	Vancomycin resistance	K01000|K01775|K01921|K01929|K02563
map01503	Cationic antimicrobial peptide (CAMP) resistance	K03760|K03767|K06079|K07264|K12962|K12963|K12973|K12975|K13632|K18138|K19230|K19236|K19238
map01523	Antifolate resistance	K00287|K00297|K00560|K00600|K00602
map01524	Platinum drug resistance	K00799
map02010	ABC transporters	K01996|K01997|K02000|K02001|K02002|K02013|K02015|K02016|K02018|K02036|K02037|K02038|K02040|K02045|K02046|K02047|K02048|K02066|K02073|K05814|K05815|K05816|K06074|K06858|K06861|K09808|K09810|K09811|K09812|K10000|K10002|K10003|K10004|K10009|K10010|K10014|K10016|K10017|K10108|K10110|K10111|K10439|K10440|K10441|K10542|K10549|K10550|K10823|K11070|K11073|K11074|K11075|K11076|K11085|K12368|K12369|K12370|K12372|K13890|K13891|K13894|K13895|K15581|K15582|K18889|K18890|K19230
map02020	Two-component system	K00244|K00245|K00246|K00247|K00370|K00371|K00374|K00425|K00626|K00990|K01035|K01077|K01467|K01547|K01548|K01643|K01646|K01910|K01915|K02040|K02106|K02313|K03092|K03412|K03563|K04751|K07644|K07648|K07657|K07659|K07663|K07665|K07667|K07689|K07701|K07703|K07710|K07712|K07714|K07787|K07788|K07789|K07792|K07798|K07810|K09477|K10002|K10003|K10004|K10914|K11103|K18326|K19611
map02024	Quorum sensing	K01497|K01626|K01658|K01996|K01997|K02053|K02055|K03070|K03071|K03073|K03076|K03106|K03110|K03210|K03217|K03666|K07173|K07667|K09823|K10823|K10914|K11752|K15581|K15582
map02025	Biofilm formation - Pseudomonas aeruginosa	K01658|K03563|K03651|K07689|K10914
map02026	Biofilm formation - Escherichia coli	K00688|K00703|K00975|K03087|K03563|K05851|K06204|K07173|K07648|K07659|K07689|K10914|K21089
map02030	Bacterial chemotaxis	K03412|K10108|K10439|K12368
map02040	Flagellar assembly	K02388|K02392|K02393|K02394|K02400|K02412|K02419|K02423
map02060	Phosphotransferase system (PTS)	K02745|K02750|K02761|K02779|K02784|K02794|K02795|K02796|K02800|K02813|K02814|K02815|K02822|K03475|K08483|K10984|K10985|K10986
map03008	Ribosome biogenesis in eukaryotes	K03685|K13288
map03010	Ribosome	K02863|K02864|K02867|K02871|K02874|K02876|K02878|K02879|K02881|K02884|K02886|K02887|K02888|K02890|K02892|K02895|K02897|K02899|K02902|K02904|K02906|K02907|K02909|K02911|K02913|K02914|K02916|K02919|K02926|K02931|K02933|K02935|K02939|K02945|K02946|K02948|K02950|K02952|K02954|K02956|K02959|K02961|K02963|K02965|K02967|K02968|K02970|K02982|K02986|K02988|K02990|K02992|K02994|K02996
map03013	RNA transport	K00974
map03018	RNA degradation	K00850|K00937|K00962|K00970|K01689|K03628|K03666|K03732|K04043|K04077|K05592|K08300|K08311|K11927|K12573
map03020	RNA polymerase	K03040|K03043|K03046|K03060
map03030	DNA replication	K01972|K02314|K02316|K02335|K02337|K02338|K02340|K02345|K03111|K03469|K03470
map03060	Protein export	K03070|K03071|K03072|K03073|K03074|K03076|K03106|K03110|K03116|K03117|K03118|K03210|K03217|K03425
map03070	Bacterial secretion system	K02454|K03070|K03071|K03072|K03073|K03074|K03076|K03106|K03110|K03116|K03117|K03118|K03210|K03217|K03425
map03320	PPAR signaling pathway	K00864
map03410	Base excision repair	K01142|K01151|K01246|K01972|K02335|K03575|K03648|K10563|K10773
map03420	Nucleotide excision repair	K01972|K02335|K03657|K03701|K03702
map03430	Mismatch repair	K01972|K02337|K02338|K02340|K02345|K03111|K03555|K03573|K03657|K06223|K10857
map03440	Homologous recombination	K01159|K02335|K02337|K02338|K02340|K02345|K02686|K03111|K03551|K03553|K03583|K03655|K04066|K06187
map04013	MAPK signaling pathway - fly	K04564
map04016	MAPK signaling pathway - plant	K00940
map04066	HIF-1 signaling pathway	K00134|K01689
map04068	FoxO signaling pathway	K04564
map04070	Phosphatidylinositol signaling system	K01092
map04112	Cell cycle - Caulobacter	K01338|K01358|K02313|K02314|K02563|K03531|K03544|K03588|K03589|K03590
map04122	Sulfur relay system	K00566|K03635|K03636|K03637|K03639|K03831|K04487|K11179
map04141	Protein processing in endoplasmic reticulum	K04079
map04146	Peroxisome	K00031|K04564|K04565
map04151	PI3K-Akt signaling pathway	K04079
map04152	AMPK signaling pathway	K00850
map04211	Longevity regulating pathway	K04564
map04212	Longevity regulating pathway - worm	K01358|K04043|K04077|K04564
map04213	Longevity regulating pathway - multiple species	K03695|K04564|K04565
map04214	Apoptosis - fly	K03386
map04216	Ferroptosis	K00657
map04217	Necroptosis	K00688|K01915|K03767|K04079
map04612	Antigen processing and presentation	K04079
map04621	NOD-like receptor signaling pathway	K03671|K04079
map04626	Plant-pathogen interaction	K00864|K04079
map04657	IL-17 signaling pathway	K04079
map04659	Th17 cell differentiation	K04079
map04724	Glutamatergic synapse	K01915
map04727	GABAergic synapse	K01915
map04910	Insulin signaling pathway	K00688
map04914	Progesterone-mediated oocyte maturation	K04079
map04915	Estrogen signaling pathway	K04079
map04918	Thyroid hormone synthesis	K00383
map04922	Glucagon signaling pathway	K00688|K00873|K01834
map04930	Type II diabetes mellitus	K00873
map04931	Insulin resistance	K00688|K00820
map04940	Type I diabetes mellitus	K04077
map05010	Alzheimer's disease	K00134
map05014	Amyotrophic lateral sclerosis (ALS)	K04565
map05016	Huntington's disease	K04564|K04565
map05020	Prion diseases	K04565
map05111	Biofilm formation - Vibrio cholerae	K00640|K01791|K02454|K02472|K02779|K03087|K03092|K03557|K03563|K03666|K05851|K07173|K07689|K10914
map05120	Epithelial cell signaling in Helicobacter pylori infection	K08303
map05132	Salmonella infection	K03385
map05133	Pertussis	K07347|K12973
map05134	Legionellosis	K00239|K03596|K04077
map05142	Chagas disease (American trypanosomiasis)	K01354
map05143	African trypanosomiasis	K01354
map05152	Tuberculosis	K02040|K04043|K04077
map05165	Human papillomavirus infection	K00873
map05200	Pathways in cancer	K01679|K04079
map05203	Viral carcinogenesis	K00873
map05204	Chemical carcinogenesis	K00121|K00799
map05205	Proteoglycans in cancer	K03685
map05211	Renal cell carcinoma	K01679
map05215	Prostate cancer	K04079
map05230	Central carbon metabolism in cancer	K00036|K00850|K00873|K01834
map05340	Primary immunodeficiency	K03648
map05418	Fluid shear stress and atherosclerosis	K00799|K01940|K03671|K04079
